Debt_to_Equity,Beta,Interest_Coverage,Stock_Price
2.449,2.193,34.545,144.23
2.615,0.755,31.414,153.0
2.748,1.295,2.545,87.83
1.583,2.095,19.74,131.4
1.554,0.8,5.092,122.44
2.415,0.959,10.44,113.07
1.985,1.945,39.48,166.82
2.136,1.94,6.557,101.55
2.408,1.782,20.457,124.3
2.681,1.888,25.108,126.27
1.08,1.585,28.396,166.17
1.189,1.004,22.826,158.18
0.373,1.191,1.381,127.59
1.777,0.863,13.732,133.57
0.204,2.317,21.191,154.71
1.45,1.667,4.427,110.28
1.674,1.302,14.674,132.42
0.931,1.424,2.295,124.0
1.813,2.395,4.065,96.01
0.188,0.807,16.48,167.52
0.208,1.672,6.176,142.42
2.486,1.512,23.134,129.47
1.145,1.723,27.889,166.72
0.468,0.536,32.223,194.84
1.615,2.244,8.806,104.57
2.333,2.364,7.532,95.46
0.726,1.63,5.078,127.66
1.906,1.893,25.821,143.32
0.348,2.345,28.553,169.01
0.25,1.914,2.232,126.13
1.641,0.805,37.512,174.65
1.668,1.653,3.027,104.96
1.949,1.713,22.111,131.61
2.206,1.348,28.653,143.95
2.93,1.973,34.968,138.29
1.597,2.369,28.849,149.76
1.037,2.351,32.267,162.39
2.406,1.402,14.239,111.91
0.885,0.726,32.778,185.69
1.373,2.47,4.124,106.66
0.328,2.178,35.898,180.75
0.174,0.749,22.356,177.72
2.892,2.342,32.875,129.06
2.524,2.24,18.64,108.89
2.118,1.538,26.1,142.34
1.286,1.683,21.53,145.05
0.603,1.298,29.532,177.99
0.554,0.61,4.184,137.58
0.826,1.17,3.354,125.82
1.693,2.106,10.637,115.57
2.172,0.509,7.222,116.68
2.015,1.167,35.0,167.91
0.912,1.296,9.549,134.02
2.869,1.575,39.059,150.44
2.24,2.34,14.139,109.85
1.708,1.193,8.103,115.27
1.874,1.194,31.798,153.89
1.317,1.975,26.69,146.06
0.818,1.404,20.43,158.99
1.132,0.949,22.659,157.37
2.298,1.405,29.049,151.74
0.142,0.782,9.91,154.21
0.437,0.853,39.857,204.19
0.233,1.497,39.017,202.7
0.218,1.338,26.363,183.49
2.581,2.33,8.782,97.57
2.141,1.225,27.529,149.94
1.475,1.661,3.816,113.46
0.384,1.765,2.195,127.64
1.526,0.526,11.05,138.45
1.473,1.827,19.042,134.18
0.602,0.856,34.863,189.19
1.358,2.422,29.36,149.33
1.256,0.797,29.966,171.26
1.886,1.329,17.594,130.41
1.942,0.671,14.491,135.16
0.231,2.494,15.471,146.63
1.186,1.504,39.518,182.0
1.915,1.691,2.564,104.29
1.559,0.634,34.814,173.57
2.584,2.0,23.568,121.33
2.01,0.92,18.106,133.22
0.573,2.296,29.285,159.25
0.305,0.91,19.98,169.31
1.963,0.881,35.064,166.84
0.177,0.573,36.127,209.51
1.799,1.444,17.447,133.59
2.827,1.63,11.796,97.71
1.769,0.631,24.102,159.53
1.226,2.051,36.582,172.83
1.966,1.407,9.216,116.06
1.429,1.549,25.296,150.54
1.682,1.382,25.631,146.4
2.83,1.302,29.591,135.58
1.22,1.619,6.131,122.91
2.887,0.81,28.917,146.02
2.726,0.864,36.452,160.81
0.668,2.224,8.008,124.24
0.301,2.392,10.264,130.99
0.392,1.247,38.884,198.39
0.153,1.041,8.058,143.95
0.374,1.788,34.321,184.56
2.081,1.317,20.199,132.65
0.306,0.551,10.642,155.64
1.025,0.812,34.959,179.95
2.55,1.932,18.367,115.52
0.167,1.818,21.078,161.52
2.462,0.554,15.01,122.54
0.917,0.944,24.125,156.97
0.443,0.962,7.377,143.68
2.121,1.844,16.252,124.26
1.924,0.539,38.807,183.74
2.645,0.708,11.067,112.44
2.232,2.1,26.613,130.72
2.43,0.857,13.682,122.01
0.918,1.805,31.165,164.92
0.615,0.976,6.104,139.11
2.277,0.699,38.823,172.81
2.44,0.986,18.698,131.59
2.972,1.945,10.206,91.23
1.297,2.211,3.866,106.47
1.179,2.16,7.621,113.94
2.352,1.294,21.271,127.94
1.088,1.836,14.143,133.16
2.799,0.91,33.326,149.79
2.589,1.086,17.805,125.16
1.344,2.293,10.7,115.14
2.278,0.526,25.069,152.29
2.288,0.671,28.564,151.37
0.399,0.916,7.515,145.29
2.717,0.553,7.537,105.78
1.565,0.863,2.43,108.58
2.497,1.666,29.72,141.21
1.028,1.343,26.888,165.99
2.697,2.285,19.511,108.31
1.229,2.135,33.923,163.52
0.131,1.184,32.421,193.34
2.726,1.019,23.829,126.91
0.365,1.259,34.863,189.49
1.026,1.681,9.028,129.99
2.855,1.036,5.365,92.07
2.857,1.748,11.52,99.21
1.763,1.319,3.226,104.18
1.932,1.604,21.716,136.46
1.4,1.372,37.528,175.78
0.95,1.089,2.534,119.55
1.053,2.397,5.762,116.15
2.05,2.027,18.636,120.12
2.282,0.78,37.421,164.49
2.396,2.237,13.33,104.62
2.39,1.475,20.782,130.13
0.364,2.289,2.621,117.65
1.534,2.1,6.785,109.59
0.267,1.35,39.479,201.34
1.694,0.545,38.64,184.6
1.38,1.037,1.193,115.39
2.674,1.583,38.121,150.39
1.118,1.767,25.926,152.86
0.439,1.016,34.849,192.89
0.515,0.779,18.735,161.89
2.308,2.17,21.108,111.65
1.893,2.469,20.065,123.72
0.393,1.551,27.008,175.64
0.344,0.843,6.446,138.21
2.133,1.045,2.169,99.94
0.311,0.537,13.009,163.23
2.483,2.329,28.483,134.8
2.148,0.736,8.872,118.54
0.336,1.653,27.264,171.01
0.346,1.048,38.827,200.54
2.961,1.608,4.662,89.92
1.185,1.803,27.231,154.11
1.175,2.159,18.306,133.5
2.457,0.913,34.858,156.11
2.847,0.522,7.909,103.87
2.959,0.774,28.012,138.24
2.285,2.3,33.686,146.78
1.191,2.248,37.84,170.67
0.342,1.695,27.647,172.51
2.354,1.701,20.39,123.04
1.719,1.83,25.096,137.58
1.33,0.851,34.887,181.29
2.728,2.329,23.254,114.57
0.422,1.338,2.185,129.74
1.529,1.266,37.307,184.02
0.133,1.538,27.892,180.25
1.459,0.594,27.384,163.65
0.263,0.833,9.411,150.93
0.445,1.976,26.697,169.78
0.441,0.666,16.361,163.86
1.983,1.706,26.398,137.04
2.264,0.991,5.157,109.4
1.792,1.279,26.656,148.37
2.89,1.077,39.977,162.63
1.187,1.211,2.88,122.53
0.929,1.938,39.11,179.08
2.619,1.094,16.869,123.94
0.748,1.633,34.959,180.07
2.893,1.452,31.513,139.78
0.135,1.827,23.114,168.71
2.913,2.374,29.8,120.18
0.225,1.965,35.262,183.91
2.684,0.93,16.761,123.79
1.63,0.562,13.754,137.67
2.98,1.025,27.036,131.51
0.314,1.69,32.506,179.71
1.706,0.603,30.729,168.64
2.911,1.493,32.115,143.68
1.617,1.694,17.988,129.74
1.925,1.168,32.896,160.62
2.118,2.042,5.688,101.85
1.418,0.713,22.235,155.7
1.92,0.65,1.225,111.2
1.795,1.956,13.659,115.62
2.713,1.491,15.292,112.08
0.232,1.877,16.451,152.35
0.915,1.37,28.123,170.67
2.856,0.993,16.154,119.32
2.682,2.138,18.499,117.13
1.421,2.099,10.264,119.45
1.898,1.889,15.557,122.15
0.904,1.044,9.864,139.54
0.646,1.68,3.855,124.09
1.445,1.222,24.534,154.5
1.125,0.683,27.06,169.38
1.793,2.335,25.16,135.5
0.325,0.774,19.076,173.15
2.926,2.4,15.812,93.97
2.96,1.392,34.67,145.84
